date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-07-16,ElectoPanel/Electomanía[148],2001,NA,25.4,27.7,17.3,10,2.9,3.4,3.8,2.2,1.7,1.1,0.9,0.5,0.6,0.4,0.3,0.1,2.3,NA
2021-07-15,Metroscopia[66],NA,NA,26,28.4,14.7,11.1,2.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA
2021-07-15,GESOP/El Periódico[149],802,NA,27.3,26,13.1,10,3.9,3.4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA
2021-07-15,CIS (SocioMétrica)[a][150],3798,62.2,25.1,26.8,15.6,10.1,3.1,3.7,4,2.1,1.2,0.8,0.7,0.6,1,0.4,0.1,0.1,1.7,NA
2021-07-15,CIS[151][152][153],3798,NA,28.6,23.4,13.6,10.6,5.5,3.3,3.7,1.9,1.4,0.7,0.7,0.3,0.8,0.3,0.2,0.1,5.2,NA
2021-07-12,Simple Lógica[154],1076,64.9,23,26.9,17.4,12.1,2.4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA
2021-07-10,ElectoPanel/Electomanía[155],1883,NA,26,27.9,16.7,9.9,2.9,3.4,3.9,2.2,1.7,1.1,0.9,0.5,0.6,0.4,0.3,0.1,1.9,NA
2021-07-02,InvyMark/laSexta[156],NA,NA,25.9,28.3,18.1,8.9,1.5,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA
2021-07-02,ElectoPanel/Electomanía[157],2539,NA,24.9,28.4,16.3,10.1,3.1,3.4,4.2,2.2,1.7,1.1,0.9,0.5,0.6,0.4,0.3,0.1,3.5,NA
2021-07-01,Data10/OKDiario[158],1000,NA,24.3,30.2,15.5,9.1,2.8,3.3,5,2.3,1.7,1.1,0.8,0.4,0.6,0.4,0.3,0.1,5.9,NA
